"","v","w","x"
"1",995,985,1
"2",199,197,0
"3",1194,1182,0
"4",1592,1576,0
"5",375,462,0
"6",398,394,0
"7",750,924,0
"8",125,154,0
"9",1250,1540,0
"10",500,616,0
"11",1393,1379,0
"12",995,985,0
"13",796,788,0
"14",875,1078,0
"15",625,770,0
"16",1125,1386,0
"17",597,591,0
"18",1250,1540,0
"19",1393,1379,0
"20",750,924,0
"21",1791,1773,0
"22",199,197,0
"23",250,308,0
"24",1791,1773,0
"25",1125,1386,0
"26",500,616,0
"27",250,308,0
"28",1592,1576,0
"29",375,462,0
"30",250,308,0
"31",1393,1379,1
"32",1393,1379,1
"33",250,308,0
"34",1592,1576,1
"35",750,924,0
"36",250,308,0
"37",875,1078,0
"38",1125,1386,0
"39",750,924,0
"40",875,1078,0
"41",1250,1540,0
"42",1250,1540,0
"43",1250,1540,0
"44",1791,1773,1
"45",597,591,0
"46",796,788,0
"47",1250,1540,0
"48",1194,1182,0
"49",125,154,0
"50",375,462,0
"51",1250,1540,0
"52",597,591,0
"53",1194,1182,0
"54",995,985,0
"55",1393,1379,0
"56",500,616,0
"57",1125,1386,0
"58",1125,1386,0
"59",125,154,1
"60",1791,1773,0
"61",1194,1182,0
"62",625,770,0
"63",995,985,0
"64",625,770,0
"65",1125,1386,0
"66",500,616,0
"67",750,924,0
"68",597,591,0
"69",1250,1540,0
"70",1000,1232,0
"71",1125,1386,0
"72",750,924,0
"73",1990,1970,0
"74",796,788,1
"75",1194,1182,1
"76",1791,1773,1
"77",1990,1970,1
"78",250,308,0
"79",398,394,1
"80",625,770,0
"81",875,1078,0
"82",796,788,1
"83",199,197,0
"84",1000,1232,0
"85",796,788,1
"86",1000,1232,0
"87",1000,1232,0
"88",375,462,0
"89",250,308,0
"90",1250,1540,0
"91",1592,1576,0
"92",199,197,0
"93",875,1078,0
"94",1990,1970,0
"95",1990,1970,0
"96",1125,1386,0
"97",1194,1182,0
"98",375,462,0
"99",199,197,0
"100",375,462,0
