"","v","w","x"
"1",1316,1204,1
"2",235,335,0
"3",1504,1376,0
"4",141,201,0
"5",282,402,0
"6",940,860,0
"7",94,134,0
"8",141,201,0
"9",752,688,0
"10",188,268,0
"11",1316,1204,0
"12",329,469,0
"13",141,201,0
"14",47,67,0
"15",940,860,1
"16",188,172,0
"17",329,469,0
"18",47,67,0
"19",282,402,0
"20",47,67,0
"21",1692,1548,0
"22",141,201,0
"23",188,268,0
"24",1504,1376,0
"25",1504,1376,0
"26",376,536,0
"27",47,67,0
"28",1316,1204,0
"29",376,344,0
"30",940,860,0
"31",1880,1720,0
"32",423,603,0
"33",188,268,0
"34",376,344,1
"35",376,344,1
"36",423,603,0
"37",376,344,1
"38",423,603,0
"39",1504,1376,1
"40",282,402,0
"41",564,516,1
"42",188,172,1
"43",1880,1720,1
"44",470,670,0
"45",376,536,0
"46",1692,1548,1
"47",376,536,0
"48",470,670,0
"49",1504,1376,1
"50",188,268,0
"51",752,688,1
"52",470,670,0
"53",282,402,0
"54",282,402,0
"55",423,603,0
"56",564,516,1
"57",235,335,0
"58",235,335,0
"59",1880,1720,1
"60",188,268,0
"61",423,603,0
"62",47,67,0
"63",1880,1720,1
"64",282,402,0
"65",376,536,0
"66",1880,1720,1
"67",235,335,0
"68",141,201,0
"69",376,536,0
"70",94,134,0
"71",376,344,1
"72",1504,1376,1
"73",940,860,1
"74",376,536,0
"75",1692,1548,1
"76",1128,1032,1
"77",752,688,1
"78",470,670,0
"79",282,402,0
"80",376,344,1
"81",940,860,1
"82",188,268,0
"83",188,268,0
"84",47,67,0
"85",564,516,1
"86",940,860,1
"87",1504,1376,1
"88",188,172,1
"89",423,603,0
"90",1504,1376,1
"91",329,469,0
"92",235,335,0
"93",188,172,1
"94",188,268,0
"95",564,516,1
"96",188,172,1
"97",752,688,1
"98",752,688,1
"99",752,688,1
"100",1880,1720,0
