"","v","w","x"
"1",846,828,1
"2",760,48,1
"3",1269,1242,0
"4",760,48,1
"5",285,18,1
"6",564,552,0
"7",855,54,1
"8",950,60,1
"9",423,414,0
"10",95,6,1
"11",1410,1380,0
"12",950,60,1
"13",190,12,1
"14",380,24,1
"15",282,276,0
"16",564,552,0
"17",760,48,1
"18",570,36,1
"19",285,18,1
"20",570,36,1
"21",846,828,0
"22",570,36,1
"23",665,42,1
"24",1269,1242,1
"25",423,414,1
"26",855,54,1
"27",950,60,1
"28",1128,1104,1
"29",705,690,1
"30",564,552,0
"31",1269,1242,1
"32",380,24,1
"33",665,42,1
"34",705,690,0
"35",423,414,0
"36",950,60,1
"37",141,138,0
"38",760,48,1
"39",1269,1242,0
"40",665,42,1
"41",846,828,0
"42",846,828,0
"43",141,138,0
"44",665,42,1
"45",285,18,1
"46",564,552,0
"47",665,42,1
"48",475,30,1
"49",141,138,0
"50",665,42,1
"51",423,414,0
"52",665,42,1
"53",475,30,1
"54",855,54,1
"55",380,24,1
"56",1128,1104,0
"57",570,36,1
"58",950,60,1
"59",423,414,0
"60",475,30,1
"61",950,60,1
"62",380,24,1
"63",1269,1242,0
"64",95,6,1
"65",285,18,1
"66",987,966,0
"67",950,60,1
"68",380,24,1
"69",475,30,1
"70",285,18,1
"71",423,414,1
"72",1269,1242,1
"73",1410,1380,1
"74",855,54,1
"75",1128,1104,1
"76",141,138,1
"77",1269,1242,1
"78",475,30,1
"79",95,6,1
"80",987,966,1
"81",282,276,1
"82",285,18,1
"83",475,30,1
"84",380,24,1
"85",564,552,1
"86",282,276,1
"87",423,414,1
"88",1410,1380,1
"89",950,60,1
"90",423,414,1
"91",760,48,1
"92",570,36,1
"93",282,276,1
"94",285,18,1
"95",1128,1104,1
"96",282,276,1
"97",705,690,1
"98",423,414,1
"99",141,138,1
"100",141,138,0
