"","v","w","x"
"1",999,1521,0
"2",111,169,1
"3",222,338,1
"4",222,338,1
"5",891,207,1
"6",888,1352,1
"7",396,92,1
"8",297,69,1
"9",198,46,1
"10",396,92,1
"11",555,845,1
"12",111,169,1
"13",222,338,1
"14",99,23,1
"15",891,207,1
"16",693,161,1
"17",777,1183,1
"18",198,46,1
"19",555,845,0
"20",396,92,1
"21",999,1521,0
"22",555,845,0
"23",198,46,1
"24",333,507,1
"25",297,69,1
"26",792,184,1
"27",594,138,1
"28",1110,1690,1
"29",891,207,1
"30",990,230,1
"31",111,169,1
"32",555,845,1
"33",198,46,1
"34",444,676,1
"35",396,92,1
"36",792,184,1
"37",297,69,1
"38",693,161,1
"39",990,230,1
"40",99,23,1
"41",990,230,1
"42",198,46,1
"43",990,230,1
"44",555,845,1
"45",333,507,1
"46",666,1014,1
"47",396,92,1
"48",888,1352,1
"49",297,69,1
"50",99,23,1
"51",198,46,1
"52",777,1183,1
"53",444,676,1
"54",555,845,1
"55",999,1521,1
"56",990,230,1
"57",297,69,1
"58",495,115,1
"59",891,207,1
"60",999,1521,0
"61",1110,1690,0
"62",495,115,1
"63",999,1521,0
"64",297,69,1
"65",891,207,1
"66",594,138,1
"67",792,184,1
"68",333,507,1
"69",396,92,1
"70",594,138,1
"71",99,23,1
"72",990,230,1
"73",444,676,1
"74",1110,1690,1
"75",1110,1690,1
"76",777,1183,1
"77",444,676,1
"78",198,46,1
"79",666,1014,1
"80",297,69,1
"81",297,69,1
"82",444,676,1
"83",111,169,1
"84",792,184,1
"85",444,676,1
"86",990,230,1
"87",792,184,1
"88",297,69,1
"89",396,92,1
"90",990,230,1
"91",222,338,1
"92",999,1521,1
"93",99,23,1
"94",444,676,1
"95",1110,1690,1
"96",495,115,1
"97",666,1014,0
"98",99,23,1
"99",555,845,1
"100",693,161,1
