"","v","w","x"
"1",513,240,1
"2",855,400,1
"3",1026,480,1
"4",1368,640,1
"5",801,1638,0
"6",1368,640,1
"7",712,1456,0
"8",89,182,0
"9",534,1092,0
"10",178,364,0
"11",513,240,1
"12",1197,560,1
"13",342,160,1
"14",445,910,0
"15",801,1638,0
"16",89,182,0
"17",1539,720,1
"18",356,728,0
"19",855,400,1
"20",178,364,0
"21",1197,560,0
"22",1197,560,1
"23",890,1820,0
"24",855,400,1
"25",801,1638,0
"26",890,1820,0
"27",356,728,0
"28",684,320,1
"29",623,1274,0
"30",712,1456,0
"31",1197,560,1
"32",1539,720,1
"33",890,1820,0
"34",1026,480,1
"35",178,364,0
"36",178,364,0
"37",623,1274,0
"38",267,546,0
"39",712,1456,0
"40",89,182,0
"41",712,1456,0
"42",356,728,0
"43",178,364,0
"44",1539,720,1
"45",1197,560,1
"46",1368,640,1
"47",178,364,0
"48",1368,640,1
"49",445,910,0
"50",801,1638,0
"51",534,1092,0
"52",1197,560,1
"53",1368,640,1
"54",171,80,1
"55",855,400,1
"56",890,1820,0
"57",801,1638,0
"58",801,1638,0
"59",267,546,0
"60",1197,560,1
"61",1368,640,1
"62",89,182,0
"63",1539,720,1
"64",445,910,0
"65",89,182,0
"66",178,364,0
"67",356,728,0
"68",855,400,1
"69",712,1456,0
"70",890,1820,0
"71",267,546,0
"72",712,1456,0
"73",1710,800,1
"74",1368,640,1
"75",1368,640,1
"76",1539,720,1
"77",342,160,0
"78",356,728,0
"79",1710,800,1
"80",445,910,0
"81",623,1274,0
"82",684,320,1
"83",1539,720,1
"84",534,1092,0
"85",1710,800,1
"86",534,1092,0
"87",178,364,0
"88",801,1638,0
"89",356,728,0
"90",890,1820,0
"91",342,160,1
"92",171,80,1
"93",267,546,0
"94",684,320,1
"95",1710,800,1
"96",801,1638,0
"97",684,320,0
"98",445,910,0
"99",171,80,1
"100",267,546,0
