"","v","w","x"
"1",1416,1456,0
"2",472,112,1
"3",177,182,0
"4",1180,280,1
"5",118,28,1
"6",1062,1092,0
"7",354,84,1
"8",944,224,1
"9",1239,1274,0
"10",826,196,1
"11",1770,1820,0
"12",472,112,1
"13",472,112,1
"14",944,224,1
"15",1062,1092,0
"16",1416,1456,0
"17",944,224,1
"18",236,56,1
"19",826,196,1
"20",708,168,1
"21",1416,1456,0
"22",1180,280,1
"23",354,84,1
"24",885,910,0
"25",1239,1274,0
"26",354,84,1
"27",1180,280,1
"28",1416,1456,0
"29",177,182,0
"30",708,728,0
"31",1593,1638,0
"32",708,168,1
"33",354,84,1
"34",885,910,0
"35",177,182,0
"36",1180,280,1
"37",1593,1638,0
"38",944,224,1
"39",177,182,0
"40",826,196,1
"41",354,364,0
"42",354,364,0
"43",1239,1274,0
"44",826,196,1
"45",354,84,1
"46",708,728,0
"47",590,140,1
"48",590,140,1
"49",1593,1638,0
"50",1062,252,1
"51",885,910,0
"52",590,140,1
"53",1062,252,1
"54",590,140,1
"55",708,168,1
"56",354,364,0
"57",472,112,1
"58",944,224,1
"59",1239,1274,0
"60",118,28,1
"61",944,224,1
"62",472,112,1
"63",885,910,0
"64",354,84,1
"65",1062,252,1
"66",531,546,0
"67",708,168,1
"68",236,56,1
"69",1062,252,1
"70",826,196,1
"71",531,546,0
"72",177,182,0
"73",354,364,1
"74",826,196,1
"75",354,364,1
"76",177,182,1
"77",885,910,0
"78",118,28,1
"79",354,84,1
"80",1239,1274,0
"81",354,364,0
"82",354,84,1
"83",354,84,1
"84",708,168,1
"85",1062,1092,0
"86",1416,1456,0
"87",1593,1638,0
"88",708,728,0
"89",472,112,1
"90",1593,1638,0
"91",236,56,1
"92",472,112,1
"93",1416,1456,1
"94",1062,252,1
"95",354,364,1
"96",354,364,1
"97",1593,1638,0
"98",885,910,0
"99",531,546,0
"100",531,546,0
