"","v","w","x"
"1",360,550,0
"2",35,9,1
"3",576,880,1
"4",175,45,1
"5",70,18,1
"6",72,110,1
"7",280,72,1
"8",175,45,1
"9",720,1100,0
"10",350,90,1
"11",360,550,0
"12",105,27,1
"13",315,81,1
"14",175,45,1
"15",504,770,0
"16",648,990,1
"17",315,81,1
"18",105,27,1
"19",70,18,1
"20",315,81,1
"21",360,550,1
"22",315,81,1
"23",350,90,1
"24",720,1100,1
"25",432,660,1
"26",350,90,1
"27",35,9,1
"28",72,110,1
"29",720,1100,1
"30",216,330,1
"31",576,880,1
"32",245,63,1
"33",350,90,1
"34",576,880,0
"35",288,440,0
"36",35,9,1
"37",576,880,0
"38",175,45,1
"39",144,220,0
"40",210,54,1
"41",648,990,0
"42",72,110,0
"43",144,220,0
"44",70,18,1
"45",280,72,1
"46",72,110,0
"47",280,72,1
"48",70,18,1
"49",144,220,0
"50",280,72,1
"51",288,440,0
"52",140,36,1
"53",140,36,1
"54",70,18,1
"55",35,9,1
"56",360,550,0
"57",245,63,1
"58",105,27,1
"59",576,880,0
"60",210,54,1
"61",35,9,1
"62",175,45,1
"63",576,880,0
"64",210,54,1
"65",280,72,1
"66",144,220,0
"67",245,63,1
"68",245,63,1
"69",70,18,1
"70",140,36,1
"71",288,440,1
"72",144,220,1
"73",504,770,1
"74",280,72,1
"75",648,990,1
"76",576,880,1
"77",288,440,1
"78",350,90,1
"79",140,36,1
"80",144,220,1
"81",648,990,1
"82",140,36,1
"83",210,54,1
"84",245,63,1
"85",360,550,1
"86",648,990,1
"87",576,880,1
"88",504,770,1
"89",105,27,1
"90",432,660,1
"91",315,81,1
"92",315,81,1
"93",72,110,1
"94",70,18,1
"95",216,330,1
"96",216,330,1
"97",432,660,1
"98",288,440,1
"99",576,880,1
"100",144,220,0
