"","v","w","x"
"1",175,434,0
"2",355,265,0
"3",250,620,0
"4",497,371,0
"5",710,530,0
"6",75,186,0
"7",142,106,1
"8",213,159,1
"9",100,248,0
"10",426,318,1
"11",125,310,0
"12",497,371,1
"13",71,53,1
"14",71,53,0
"15",75,186,0
"16",75,186,0
"17",639,477,0
"18",497,371,0
"19",284,212,0
"20",639,477,0
"21",125,310,0
"22",213,159,0
"23",426,318,0
"24",150,372,0
"25",250,620,0
"26",284,212,1
"27",639,477,1
"28",25,62,0
"29",150,372,0
"30",75,186,0
"31",200,496,0
"32",639,477,1
"33",426,318,1
"34",150,372,0
"35",50,124,0
"36",213,159,1
"37",200,496,0
"38",355,265,1
"39",100,248,0
"40",426,318,1
"41",125,310,0
"42",175,434,0
"43",200,496,0
"44",284,212,1
"45",710,530,1
"46",25,62,0
"47",426,318,1
"48",142,106,1
"49",250,620,0
"50",710,530,1
"51",150,372,0
"52",142,106,1
"53",568,424,1
"54",568,424,1
"55",213,159,0
"56",175,434,0
"57",355,265,1
"58",71,53,0
"59",50,124,0
"60",142,106,1
"61",639,477,1
"62",497,371,1
"63",100,248,0
"64",568,424,1
"65",284,212,0
"66",250,620,0
"67",213,159,1
"68",355,265,1
"69",426,318,0
"70",710,530,0
"71",100,248,0
"72",100,248,0
"73",175,434,0
"74",568,424,1
"75",75,186,0
"76",200,496,0
"77",250,620,0
"78",284,212,1
"79",568,424,1
"80",50,124,0
"81",225,558,0
"82",284,212,1
"83",284,212,1
"84",639,477,1
"85",175,434,0
"86",125,310,0
"87",100,248,0
"88",25,62,0
"89",497,371,1
"90",50,124,0
"91",213,159,0
"92",497,371,0
"93",225,558,0
"94",568,424,0
"95",175,434,0
"96",125,310,0
"97",250,620,0
"98",150,372,0
"99",250,620,0
"100",100,248,0
