"","v","w","x"
"1",1512,1344,1
"2",312,448,0
"3",189,168,0
"4",234,336,0
"5",39,56,0
"6",1890,1680,0
"7",39,56,0
"8",312,448,0
"9",189,168,0
"10",273,392,0
"11",1134,1008,0
"12",78,112,0
"13",312,448,0
"14",78,112,0
"15",756,672,0
"16",1134,1008,0
"17",390,560,0
"18",390,560,0
"19",351,504,0
"20",78,112,0
"21",378,336,0
"22",156,224,0
"23",39,56,0
"24",567,504,0
"25",1323,1176,0
"26",39,56,0
"27",312,448,0
"28",1512,1344,0
"29",567,504,0
"30",1890,1680,0
"31",567,504,0
"32",156,224,0
"33",117,168,0
"34",567,504,0
"35",945,840,1
"36",312,448,0
"37",567,504,1
"38",390,560,0
"39",567,504,1
"40",117,168,0
"41",378,336,1
"42",1890,1680,1
"43",1323,1176,1
"44",117,168,0
"45",351,504,0
"46",1890,1680,1
"47",195,280,0
"48",351,504,0
"49",945,840,1
"50",273,392,0
"51",1323,1176,1
"52",351,504,0
"53",273,392,0
"54",351,504,0
"55",156,224,0
"56",1890,1680,1
"57",156,224,0
"58",390,560,0
"59",945,840,1
"60",195,280,0
"61",312,448,0
"62",78,112,0
"63",1323,1176,1
"64",117,168,0
"65",117,168,0
"66",1323,1176,1
"67",390,560,0
"68",390,560,0
"69",39,56,0
"70",351,504,0
"71",1323,1176,0
"72",567,504,1
"73",1512,1344,1
"74",195,280,0
"75",1134,1008,0
"76",1323,1176,0
"77",1701,1512,0
"78",195,280,0
"79",117,168,0
"80",1323,1176,0
"81",1890,1680,0
"82",117,168,0
"83",273,392,0
"84",390,560,0
"85",756,672,0
"86",378,336,0
"87",1323,1176,0
"88",1890,1680,0
"89",156,224,0
"90",189,168,0
"91",390,560,0
"92",78,112,0
"93",756,672,0
"94",39,56,0
"95",1512,1344,0
"96",1890,1680,0
"97",945,840,0
"98",1701,1512,0
"99",1701,1512,0
"100",1701,1512,0
