"","v","w","x"
"1",120,44,1
"2",240,88,0
"3",150,55,0
"4",30,11,0
"5",1670,590,0
"6",210,77,0
"7",167,59,0
"8",1002,354,0
"9",501,177,0
"10",167,59,0
"11",180,66,0
"12",120,44,0
"13",90,33,0
"14",334,118,0
"15",1336,472,0
"16",1670,590,0
"17",180,66,0
"18",501,177,0
"19",180,66,0
"20",835,295,0
"21",300,110,0
"22",300,110,0
"23",835,295,0
"24",240,88,0
"25",334,118,0
"26",501,177,0
"27",1503,531,0
"28",270,99,0
"29",1336,472,0
"30",1169,413,0
"31",300,110,0
"32",240,88,0
"33",835,295,0
"34",30,11,0
"35",1503,531,0
"36",1503,531,0
"37",1670,590,0
"38",1336,472,1
"39",1503,531,1
"40",668,236,1
"41",501,177,1
"42",501,177,1
"43",501,177,1
"44",120,44,0
"45",120,44,0
"46",150,55,0
"47",167,59,1
"48",150,55,0
"49",1336,472,1
"50",334,118,0
"51",167,59,1
"52",180,66,0
"53",90,33,0
"54",60,22,0
"55",240,88,0
"56",1503,531,1
"57",1670,590,1
"58",1002,354,1
"59",334,118,1
"60",60,22,0
"61",210,77,0
"62",1002,354,1
"63",120,44,0
"64",1670,590,1
"65",1336,472,1
"66",501,177,1
"67",835,295,1
"68",60,22,0
"69",1503,531,0
"70",1503,531,0
"71",1002,354,0
"72",1503,531,0
"73",90,33,0
"74",30,11,0
"75",270,99,0
"76",60,22,0
"77",270,99,0
"78",1503,531,0
"79",150,55,0
"80",1670,590,0
"81",1670,590,0
"82",90,33,0
"83",120,44,0
"84",501,177,0
"85",150,55,0
"86",1169,413,0
"87",167,59,0
"88",1002,354,0
"89",835,295,1
"90",1169,413,0
"91",210,77,0
"92",300,110,0
"93",334,118,0
"94",270,99,0
"95",90,33,0
"96",1336,472,0
"97",90,33,0
"98",1336,472,0
"99",120,44,0
"100",334,118,1
