"","v","w","x"
"1",918,402,1
"2",44,552,0
"3",1377,603,1
"4",66,828,0
"5",77,966,0
"6",918,402,1
"7",33,414,0
"8",88,1104,0
"9",1071,469,1
"10",55,690,0
"11",306,134,1
"12",44,552,0
"13",66,828,1
"14",110,1380,0
"15",1530,670,1
"16",1224,536,1
"17",88,1104,1
"18",44,552,0
"19",99,1242,0
"20",88,1104,0
"21",1530,670,1
"22",110,1380,0
"23",99,1242,0
"24",1071,469,1
"25",765,335,1
"26",77,966,0
"27",22,276,0
"28",612,268,1
"29",1071,469,1
"30",918,402,1
"31",459,201,1
"32",66,828,0
"33",11,138,0
"34",153,67,1
"35",153,67,1
"36",88,1104,0
"37",459,201,1
"38",22,276,0
"39",765,335,1
"40",77,966,0
"41",1530,670,1
"42",612,268,1
"43",1377,603,1
"44",33,414,0
"45",11,138,0
"46",306,134,1
"47",77,966,0
"48",33,414,0
"49",1071,469,1
"50",33,414,0
"51",459,201,1
"52",33,414,0
"53",99,1242,0
"54",55,690,0
"55",22,276,0
"56",918,402,1
"57",44,552,0
"58",22,276,0
"59",1071,469,1
"60",11,138,0
"61",88,1104,0
"62",110,1380,0
"63",153,67,1
"64",33,414,0
"65",55,690,0
"66",459,201,1
"67",88,1104,0
"68",110,1380,0
"69",11,138,0
"70",99,1242,0
"71",153,67,1
"72",765,335,1
"73",1224,536,1
"74",99,1242,1
"75",1224,536,1
"76",1377,603,1
"77",153,67,1
"78",55,690,0
"79",11,138,0
"80",1071,469,1
"81",1530,670,1
"82",33,414,0
"83",33,414,0
"84",88,1104,0
"85",1530,670,1
"86",1530,670,1
"87",153,67,1
"88",612,268,1
"89",88,1104,0
"90",459,201,1
"91",66,828,0
"92",22,276,0
"93",306,134,1
"94",55,690,0
"95",918,402,1
"96",1530,670,1
"97",459,201,1
"98",459,201,1
"99",1377,603,1
"100",1377,603,1
