"","v","w","x"
"1",1350,1503,1
"2",360,630,0
"3",300,334,0
"4",504,882,0
"5",288,504,0
"6",150,167,0
"7",432,756,0
"8",216,378,0
"9",600,668,0
"10",720,1260,0
"11",150,167,0
"12",216,378,0
"13",216,378,0
"14",360,630,0
"15",450,501,0
"16",1350,1503,0
"17",504,882,0
"18",504,882,0
"19",432,756,0
"20",504,882,0
"21",1050,1169,0
"22",72,126,0
"23",720,1260,0
"24",900,1002,0
"25",600,668,0
"26",288,504,0
"27",216,378,0
"28",1050,1169,1
"29",900,1002,0
"30",150,167,0
"31",1200,1336,0
"32",360,630,0
"33",720,1260,0
"34",300,334,0
"35",1200,1336,0
"36",216,378,0
"37",900,1002,0
"38",648,1134,0
"39",1200,1336,0
"40",576,1008,0
"41",150,167,0
"42",1350,1503,0
"43",600,668,0
"44",288,504,0
"45",288,504,0
"46",450,501,0
"47",288,504,0
"48",288,504,0
"49",600,668,0
"50",576,1008,0
"51",600,668,1
"52",288,504,0
"53",288,504,0
"54",576,1008,0
"55",360,630,0
"56",1050,1169,1
"57",216,378,0
"58",648,1134,0
"59",1200,1336,1
"60",576,1008,0
"61",504,882,0
"62",216,378,0
"63",600,668,1
"64",576,1008,0
"65",144,252,0
"66",600,668,0
"67",504,882,0
"68",216,378,0
"69",576,1008,0
"70",432,756,0
"71",1200,1336,0
"72",1200,1336,0
"73",1350,1503,0
"74",720,1260,0
"75",1350,1503,0
"76",1200,1336,0
"77",900,1002,0
"78",144,252,0
"79",576,1008,0
"80",300,334,0
"81",1350,1503,0
"82",288,504,0
"83",720,1260,0
"84",648,1134,0
"85",750,835,0
"86",1350,1503,0
"87",900,1002,0
"88",150,167,0
"89",72,126,0
"90",1500,1670,0
"91",216,378,0
"92",504,882,0
"93",450,501,0
"94",576,1008,0
"95",1350,1503,0
"96",750,835,0
"97",300,334,0
"98",1500,1670,0
"99",1500,1670,0
"100",900,1002,0
