"","v","w","x"
"1",1056,660,1
"2",772,776,0
"3",1584,990,1
"4",1544,1552,0
"5",1351,1358,0
"6",1408,880,1
"7",1351,1358,0
"8",1544,1552,0
"9",1232,770,1
"10",579,582,0
"11",704,440,1
"12",1544,1552,0
"13",386,388,1
"14",1158,1164,1
"15",1056,660,1
"16",352,220,1
"17",386,388,1
"18",386,388,1
"19",965,970,1
"20",1544,1552,0
"21",1056,660,1
"22",1930,1940,0
"23",1737,1746,0
"24",880,550,1
"25",528,330,1
"26",579,582,0
"27",1544,1552,0
"28",352,220,1
"29",176,110,1
"30",1408,880,1
"31",1584,990,1
"32",386,388,0
"33",1737,1746,0
"34",1584,990,1
"35",1232,770,1
"36",1930,1940,0
"37",1584,990,1
"38",772,776,0
"39",1232,770,1
"40",579,582,0
"41",1408,880,1
"42",352,220,1
"43",1584,990,1
"44",1351,1358,0
"45",1737,1746,0
"46",352,220,1
"47",1351,1358,0
"48",579,582,0
"49",1232,770,1
"50",193,194,0
"51",1232,770,1
"52",579,582,0
"53",579,582,0
"54",965,970,0
"55",1158,1164,0
"56",352,220,1
"57",1158,1164,0
"58",1544,1552,0
"59",176,110,1
"60",1351,1358,0
"61",1544,1552,0
"62",1158,1164,0
"63",880,550,1
"64",193,194,0
"65",193,194,0
"66",1584,990,1
"67",386,388,0
"68",772,776,0
"69",965,970,0
"70",193,194,0
"71",1584,990,1
"72",1232,770,1
"73",1760,1100,1
"74",965,970,1
"75",1056,660,1
"76",176,110,1
"77",1584,990,1
"78",579,582,1
"79",193,194,0
"80",1232,770,1
"81",352,220,1
"82",579,582,1
"83",1737,1746,1
"84",1158,1164,1
"85",1408,880,1
"86",704,440,1
"87",1584,990,1
"88",704,440,1
"89",1544,1552,0
"90",176,110,1
"91",386,388,0
"92",1158,1164,0
"93",704,440,1
"94",1737,1746,0
"95",1760,1100,1
"96",352,220,1
"97",1232,770,1
"98",176,110,1
"99",176,110,1
"100",176,110,1
