"","v","w","x"
"1",40,850,0
"2",40,850,0
"3",48,1020,0
"4",16,340,0
"5",339,294,0
"6",64,1360,0
"7",904,784,0
"8",113,98,0
"9",678,588,0
"10",452,392,0
"11",8,170,0
"12",56,1190,0
"13",80,1700,0
"14",565,490,0
"15",791,686,0
"16",113,98,0
"17",8,170,0
"18",1130,980,0
"19",24,510,0
"20",1130,980,0
"21",40,850,0
"22",40,850,0
"23",226,196,0
"24",8,170,0
"25",113,98,0
"26",678,588,0
"27",452,392,0
"28",64,1360,0
"29",113,98,0
"30",678,588,0
"31",40,850,0
"32",72,1530,0
"33",226,196,0
"34",80,1700,0
"35",452,392,0
"36",452,392,0
"37",565,490,0
"38",1017,882,0
"39",452,392,0
"40",1017,882,1
"41",226,196,0
"42",226,196,0
"43",1130,980,0
"44",24,510,0
"45",72,1530,0
"46",80,1700,0
"47",1130,980,0
"48",80,1700,0
"49",791,686,1
"50",565,490,1
"51",904,784,1
"52",72,1530,0
"53",80,1700,0
"54",8,170,0
"55",72,1530,0
"56",678,588,1
"57",1017,882,1
"58",565,490,1
"59",565,490,1
"60",56,1190,0
"61",48,1020,0
"62",565,490,1
"63",24,510,0
"64",565,490,1
"65",791,686,1
"66",226,196,0
"67",452,392,0
"68",56,1190,0
"69",678,588,0
"70",904,784,0
"71",565,490,0
"72",452,392,0
"73",32,680,0
"74",48,1020,0
"75",16,340,0
"76",24,510,0
"77",48,1020,0
"78",904,784,0
"79",16,340,0
"80",565,490,0
"81",1017,882,0
"82",32,680,0
"83",72,1530,0
"84",452,392,0
"85",48,1020,0
"86",678,588,0
"87",1130,980,0
"88",1017,882,0
"89",226,196,0
"90",678,588,0
"91",64,1360,0
"92",40,850,0
"93",113,98,0
"94",64,1360,0
"95",32,680,0
"96",339,294,1
"97",80,1700,0
"98",1017,882,0
"99",40,850,0
"100",791,686,1
