"","v","w","x"
"1",192,360,0
"2",320,600,0
"3",256,480,0
"4",256,480,0
"5",945,469,1
"6",640,1200,0
"7",1080,536,1
"8",135,67,1
"9",810,402,1
"10",1350,670,1
"11",320,600,0
"12",320,600,1
"13",256,480,0
"14",945,469,1
"15",405,201,1
"16",135,67,1
"17",448,840,0
"18",1080,536,1
"19",448,840,0
"20",540,268,1
"21",64,120,0
"22",448,840,0
"23",1080,536,1
"24",448,840,0
"25",945,469,1
"26",270,134,1
"27",810,402,1
"28",640,1200,0
"29",675,335,1
"30",1350,670,1
"31",64,120,0
"32",576,1080,0
"33",1080,536,1
"34",128,240,0
"35",270,134,1
"36",1080,536,1
"37",135,67,1
"38",945,469,1
"39",270,134,1
"40",135,67,1
"41",810,402,1
"42",1080,536,1
"43",540,268,1
"44",448,840,0
"45",192,360,0
"46",384,720,0
"47",270,134,1
"48",384,720,0
"49",405,201,1
"50",405,201,1
"51",540,268,1
"52",448,840,0
"53",512,960,0
"54",64,120,0
"55",64,120,0
"56",540,268,1
"57",135,67,1
"58",405,201,1
"59",405,201,1
"60",448,840,0
"61",512,960,0
"62",675,335,1
"63",320,600,0
"64",405,201,1
"65",675,335,1
"66",270,134,1
"67",810,402,1
"68",64,120,0
"69",1350,670,1
"70",1350,670,1
"71",135,67,1
"72",270,134,1
"73",384,720,0
"74",640,1200,0
"75",256,480,0
"76",448,840,0
"77",512,960,0
"78",1080,536,1
"79",640,1200,0
"80",675,335,1
"81",405,201,1
"82",256,480,0
"83",576,1080,0
"84",1350,670,1
"85",384,720,0
"86",810,402,1
"87",540,268,1
"88",1215,603,1
"89",1080,536,1
"90",810,402,1
"91",384,720,1
"92",576,1080,0
"93",945,469,1
"94",640,1200,0
"95",256,480,0
"96",675,335,1
"97",640,1200,0
"98",405,201,1
"99",448,840,1
"100",1215,603,1
