"","v","w","x"
"1",708,576,1
"2",1464,168,1
"3",1062,864,0
"4",1098,126,1
"5",915,105,1
"6",236,192,0
"7",915,105,1
"8",1830,210,1
"9",354,288,0
"10",549,63,1
"11",1180,960,0
"12",1098,126,1
"13",1098,126,1
"14",1464,168,1
"15",472,384,0
"16",1180,960,0
"17",732,84,1
"18",1830,210,1
"19",1281,147,1
"20",732,84,1
"21",1180,960,0
"22",1098,126,1
"23",1281,147,1
"24",354,288,0
"25",354,288,0
"26",549,63,1
"27",1098,126,1
"28",1180,960,0
"29",354,288,0
"30",472,384,0
"31",354,288,0
"32",1464,168,1
"33",1647,189,1
"34",826,672,0
"35",1062,864,0
"36",1464,168,1
"37",354,288,0
"38",1098,126,1
"39",1062,864,0
"40",183,21,1
"41",944,768,0
"42",1180,960,0
"43",1062,864,0
"44",549,63,1
"45",915,105,1
"46",708,576,0
"47",1281,147,1
"48",1281,147,1
"49",118,96,0
"50",1647,189,1
"51",1062,864,0
"52",1281,147,1
"53",183,21,1
"54",1647,189,1
"55",366,42,1
"56",236,192,0
"57",1098,126,1
"58",366,42,1
"59",1062,864,0
"60",1647,189,1
"61",1830,210,1
"62",1098,126,1
"63",826,672,0
"64",183,21,1
"65",915,105,1
"66",118,96,0
"67",1098,126,1
"68",1830,210,1
"69",1647,189,1
"70",183,21,1
"71",354,288,0
"72",826,672,0
"73",944,768,1
"74",549,63,1
"75",1180,960,1
"76",1062,864,1
"77",118,96,1
"78",1281,147,1
"79",183,21,1
"80",826,672,1
"81",1180,960,1
"82",549,63,1
"83",183,21,1
"84",1464,168,1
"85",708,576,1
"86",708,576,1
"87",826,672,1
"88",1180,960,1
"89",1830,210,1
"90",590,480,1
"91",366,42,1
"92",366,42,1
"93",1180,960,1
"94",183,21,1
"95",708,576,1
"96",944,768,1
"97",354,288,1
"98",590,480,0
"99",1062,864,1
"100",1062,864,0
