"","v","w","x"
"1",543,159,1
"2",181,53,1
"3",1086,318,1
"4",362,106,1
"5",77,196,0
"6",724,212,1
"7",770,1960,0
"8",77,196,0
"9",770,1960,0
"10",154,392,0
"11",1267,371,1
"12",1629,477,1
"13",1810,530,1
"14",231,588,0
"15",77,196,0
"16",231,588,0
"17",1267,371,1
"18",462,1176,0
"19",543,159,1
"20",616,1568,0
"21",905,265,1
"22",181,53,1
"23",770,1960,0
"24",1267,371,1
"25",693,1764,0
"26",770,1960,0
"27",462,1176,0
"28",724,212,1
"29",539,1372,0
"30",308,784,0
"31",905,265,1
"32",181,53,1
"33",770,1960,0
"34",1086,318,1
"35",770,1960,0
"36",308,784,0
"37",385,980,0
"38",77,196,0
"39",616,1568,0
"40",231,588,0
"41",770,1960,0
"42",462,1176,0
"43",154,392,0
"44",543,159,1
"45",181,53,1
"46",362,106,1
"47",154,392,0
"48",724,212,1
"49",77,196,0
"50",693,1764,0
"51",308,784,0
"52",543,159,1
"53",362,106,1
"54",905,265,1
"55",1629,477,1
"56",770,1960,0
"57",693,1764,0
"58",539,1372,0
"59",539,1372,0
"60",905,265,1
"61",1448,424,1
"62",77,196,0
"63",1267,371,1
"64",385,980,0
"65",539,1372,1
"66",770,1960,1
"67",154,392,1
"68",1267,371,1
"69",462,1176,1
"70",616,1568,0
"71",693,1764,0
"72",616,1568,0
"73",362,106,1
"74",1810,530,1
"75",724,212,1
"76",543,159,1
"77",1448,424,1
"78",770,1960,0
"79",1810,530,1
"80",385,980,0
"81",693,1764,0
"82",724,212,1
"83",1267,371,1
"84",308,784,0
"85",362,106,1
"86",308,784,0
"87",308,784,0
"88",231,588,0
"89",308,784,0
"90",462,1176,0
"91",724,212,1
"92",905,265,1
"93",539,1372,0
"94",362,106,1
"95",362,106,1
"96",231,588,1
"97",1448,424,1
"98",77,196,0
"99",905,265,1
"100",539,1372,0
