"","v","w","x"
"1",232,300,1
"2",1056,656,1
"3",580,750,1
"4",264,164,1
"5",660,410,1
"6",696,900,1
"7",660,410,1
"8",264,164,1
"9",348,450,1
"10",660,410,1
"11",696,900,1
"12",528,328,1
"13",264,164,1
"14",264,164,1
"15",464,600,1
"16",928,1200,1
"17",1320,820,1
"18",1320,820,1
"19",660,410,1
"20",1320,820,1
"21",928,1200,1
"22",1056,656,1
"23",132,82,1
"24",348,450,1
"25",812,1050,1
"26",396,246,1
"27",1320,820,1
"28",928,1200,1
"29",116,150,1
"30",1160,1500,1
"31",348,450,1
"32",1056,656,1
"33",132,82,1
"34",580,750,1
"35",812,1050,1
"36",792,492,1
"37",580,750,1
"38",1056,656,1
"39",1044,1350,1
"40",396,246,1
"41",928,1200,1
"42",928,1200,1
"43",812,1050,0
"44",132,82,1
"45",924,574,1
"46",1160,1500,1
"47",1188,738,1
"48",132,82,1
"49",580,750,1
"50",396,246,1
"51",348,450,1
"52",396,246,1
"53",1188,738,1
"54",1188,738,1
"55",1056,656,1
"56",464,600,1
"57",1056,656,1
"58",528,328,1
"59",812,1050,1
"60",1188,738,1
"61",264,164,1
"62",1320,820,1
"63",580,750,1
"64",1188,738,1
"65",132,82,1
"66",348,450,1
"67",1056,656,1
"68",264,164,1
"69",396,246,1
"70",924,574,1
"71",812,1050,1
"72",812,1050,1
"73",696,900,1
"74",924,574,1
"75",1160,1500,1
"76",1044,1350,1
"77",1044,1350,1
"78",396,246,1
"79",924,574,1
"80",812,1050,1
"81",1160,1500,1
"82",396,246,1
"83",132,82,1
"84",792,492,1
"85",232,300,1
"86",928,1200,1
"87",580,750,1
"88",1160,1500,1
"89",1056,656,1
"90",116,150,1
"91",264,164,1
"92",528,328,1
"93",1160,1500,1
"94",1188,738,1
"95",1160,1500,1
"96",928,1200,1
"97",812,1050,1
"98",812,1050,1
"99",580,750,1
"100",812,1050,0
